numero,descripcion,codigo,cantidad,modelos,observaciones,archivo_origen
5,"Tuerca","14M7144",2,"6415, 6615","M20","ST350802.md"
6,"Soporte","DQ41499",1,"6415","","ST350802.md"
7,"Portador","DQ63674",1,"6615","","ST350802.md"
8,"Portador","DQ41285",1,"6415, 6615","","ST350802.md"
9,"Tornillo","19M7496",1,"6415, 6615","M12 X 45, (SUB FOR 19M7387)","ST350802.md"
10,"Tornillo","19M7285",1,"6415","M12 X 30","ST350802.md"
11,"Espaciador","CQ38916",1,"6415, 6615","","ST350802.md"
12,"Arandela de seguridad","12M7067",1,"6415, 6615","12 mm","ST350802.md"
13,"Protección","DQ63793",1,"6415","","ST350802.md"
14,"Protección","DQ61516",1,"6615","","ST350802.md"
15,"Arandela de seguridad","12M7070",2,"6415, 6615","20 mm","ST350802.md"
16,"Tornillo","19M7330",1,"6415, 6615","M12 X 55","ST350802.md"
1,"Tanque de combustible","AL206571",1,"6415","154L, INCLUDES L2646N, SUB FOR MN10299","ST350803.md"
2,"Tanque de combustible","AL206572",1,"6615","(SIN DEPOSITO AUXILIAR) 172L, INCLUDES L2646N","ST350803.md"
3,"Tapón de llenado","AL113086",1,"6415, 6615","","ST350803.md"
4,"Abrazadera","SG01301",1,"6415, 6615","","ST350803.md"
5,"Tapón","CQ34351",1,"6415, 6615","","ST350803.md"
6,"Aforador de combustible","AL161024",1,"6415","","ST350803.md"
7,"Aforador de combustible","AL161025",1,"6615","","ST350803.md"
8,"Filtro","CQ29104",1,"6415, 6615","","ST350803.md"
9,"Brida","CQ65301",1,"6415, 6615","","ST350803.md"
10,"Manguera","CQ55032",1,"6415, 6615","CTL 900 mm, MF MN11040","ST350803.md"
11,"Manguera","MN11040",1,"N/A","","ST350803.md"
12,"Tornillo","21M7246",4,"6415, 6615","M6 X 16, (SUB FOR 21M7296)","ST350803.md"
13,"Tapón roscado","L2646N",1,"6415, 6615","","ST350803.md"
14,"Tapón de vaciado","MN10321",1,"6415, 6615","(USE WITH MN10297, MN10299)","ST350803.md"
15,"Arandela","24M7139",1,"6415, 6615","6.400 X 18 X 1.600 mm","ST350803.md"
16,"Anillo tórico","R217636",1,"6415, 6615","","ST350803.md"
17,"Abrazadera","SG06401",4,"6415, 6615","","ST350803.md"
18,"Manguera","CQ55027",1,"6415","","ST350803.md"
19,"Manguera","CQ55030",1,"6615","","ST350803.md"
1,"Tanque de combustible","MN10300",1,"6615","(SUB FOR DQ58533)","ST350804.md"
2,"Manguera","CQ71959",1,"6615","CTL 500 mm, MF MN11040","ST350804.md"
3,"Manguera","MN11040",1,"N/A","","ST350804.md"
4,"Respiradero","RE52504",1,"6615","","ST350804.md"
5,"Manguera","CQ43846",1,"6615","","ST350804.md"
6,"Abrazadera","DQ15378",2,"6615","","ST350804.md"
7,"Apoyo","DQ50015",1,"6615","","ST350804.md"
8,"Tornillo","19M7496",2,"6615","M12 X 45, (SUB FOR 19M7387)","ST350804.md"
9,"Abrazadera","CQ03753",2,"6615","","ST350804.md"
10,"Tira","DQ54900",1,"6615","","ST350804.md"
11,"Tornillo","19M8049",1,"6615","M10 X 80","ST350804.md"
12,"Arandela","24M7040",1,"6615","11 X 20 X 2 mm","ST350804.md"
13,"Tuerca","14M7274",1,"6615","M10","ST350804.md"
14,"Apoyo","CQ64318",1,"6615","","ST350804.md"
15,"Tornillo","19M7496",2,"6615","M12 X 45, (SUB FOR 19M7744)","ST350804.md"
