nombre,stock,categoria,ubicacion,codigo,descripcion
"Abrazadera",1,"Abrazadera","6415, 6615","L159016",""
"Tornillo",1,"Tornillo","6615","19M7166","M10 X 20"
"Tornillo",1,"Tornillo","6415","19M7169","M10 X 35"
"Arandela",1,"Arandela","6415, 6615","24M7028","10.500 X 20 X 2 mm"
"Tuerca",1,"Tuerca","6415, 6615","14M7140","M10"
"Arandela",1,"Arandela","6415, 6615","24M7026","9 X 17 X 1.600 mm"
"Tuerca",1,"Tuerca","6415, 6615","14M7029","M8"
"Arandela",1,"Arandela","6615","Z20701",""
"Racor acodado",1,"Componente","6415, 6615","38H5019",""
"Ángulo",1,"Componente","6615","L159011",""
"Tornillo",1,"Tornillo","6415","19M7169","M10 X 35"
"Tornillo",1,"Tornillo","6615","19M7166","M10 X 20"
"Tornillo",1,"Tornillo","6415, 6615","19M7984","M10 X 12"
"Racor adaptador",2,"Componente","6415, 6615","38H5005",""
"Anillo tórico",2,"Anillo","6415, 6615","51M7047","23.600 X 2.900 mm"
"Anillo tórico",2,"Anillo","6415, 6615","T77858",""
"Manguera hidráulica",1,"Manguera","6415","AL164931",""
"Manguera hidráulica",1,"Manguera","6615","AL164927",""
"Manguera hidráulica",1,"Manguera","6415","DQ64100","(CON TRANSMISION LENTA)"
"Manguera hidráulica",1,"Manguera","6415","AL164930","(SIN CABINA)"
"Manguera",1,"Manguera","6415","AL168816","(CON CABINA)"
"Manguera hidráulica",1,"Manguera","6615","AL164928",""
"Manguera hidráulica",1,"Manguera","6415","DQ64099","(CON TRANSMISION LENTA)"
"Soporte de manguera",1,"Manguera","6415","L169208",""
"Soporte de manguera",1,"Manguera","6615","AL171782",""
"Abrazadera",1,"Abrazadera","6415, 6615","L159016",""
"Tornillo",1,"Tornillo","6415, 6615","19M7166","M10 X 20"
"Tornillo",1,"Tornillo","6415, 6615","19M7167","M10 X 25"
"Arandela",1,"Arandela","6415, 6615","24M7028","10.500 X 20 X 2 mm"
"Tuerca",1,"Tuerca","6415, 6615","14M7140","M10"
"Arandela",1,"Arandela","6415, 6615","24M7026","9 X 17 X 1.600 mm"
"Tuerca",1,"Tuerca","6415, 6615","14M7029","M8"
"Arandela",1,"Arandela","6615","Z20701",""
"Tornillo",1,"Tornillo","6415","19M7169","M10 X 35"
"Tornillo",1,"Tornillo","6615","19M7166","M10 X 20"
"Tornillo",1,"Tornillo","6415, 6615","19M7984","M10 X 12"
"Casquillo",1,"Componente","6415","28H3394","0.493"" X 0.675"" X 1/2"""
"Conexión",1,"Componente","6415, 6615","L155376",""
"Abrazadera",2,"Abrazadera","6415, 6615","AL212942",""
"Anillo tórico",2,"Anillo","6415, 6615","51M7043","15.300 X 2.200 mm"
"Conexión",1,"Componente","6415, 6615","AL116423",""
"Manguera",1,"Manguera","6415, 6615","CQ43598","Retorno"
"Manguera",1,"Manguera","6415, 6615","CQ52174","LGTH = 2590 mm, Alimentación ORDER L226505"
"Manguera",1,"Manguera","","L226505","LGTH = 2250 mm"
"Protección de manguera",1,"Manguera","6415, 6615","L114339","LGTH = 150 mm"
"Aislante",1,"Aislante","6415, 6615","L204336","LGTH = 120 mm"
"Protección de manguera",1,"Manguera","","L174214","LGTH = 200 mm"
"Cinta de atar",2,"Componente","","L41858",""
"Abrazadera",1,"Abrazadera","6415","DQ39225","FRONT (SUB FOR AL82337,DQ39225) APPL"
"Abrazadera",1,"Abrazadera","6615","DQ25990",""
"Apoyo",1,"Apoyo","6415, 6615","P60213",""
"Arandela",4,"Arandela","6415, 6615","24M7047","13 X 24 X 2.500 mm"
"Tornillo",1,"Tornillo","6415, 6615","19M7496","M12 X 45, (SUB FOR 19M7387)"
"Soporte",1,"Soporte","6415, 6615","CQ52183","ORDER CQ63798"
"Portador",1,"Componente","6415","CQ61592","ORDER CQ63798"
"Portador",1,"Componente","6415","CQ63798",""
"Portador",1,"Componente","6615","CQ61592","ORDER CQ63798"
"Arandela",1,"Arandela","6415, 6615","24M7178","10.500 X 30 X 2.500 mm"
"Tornillo",2,"Tornillo","6415, 6615","19M8049","M10 X 80"
"Pletina de ajuste",1,"Componente","6415","AP32897",""
"Abrazadera",1,"Abrazadera","6615","DQ39225",""
"Soporte",1,"Soporte","6415, 6615","CQ47036",""
"Tornillo",1,"Tornillo","6415, 6615","19M7403","M12 X 35"
"Protección",1,"Componente","6415","DQ63790",""
"Protección",1,"Componente","6615","DQ59361",""
"Tornillo",2,"Tornillo","6415, 6615","19M7487","M20 X 50"
"Arandela",2,"Arandela","6415, 6615","24M7051","21 X 37 X 3 mm"
"Tuerca",2,"Tuerca","6415, 6615","14M7144","M20"
"Soporte",1,"Soporte","6415","DQ41499",""
"Portador",1,"Componente","6615","DQ63674",""
"Portador",1,"Componente","6415, 6615","DQ41285",""
"Tornillo",1,"Tornillo","6415, 6615","19M7496","M12 X 45, (SUB FOR 19M7387)"
"Tornillo",1,"Tornillo","6415","19M7285","M12 X 30"
"Espaciador",1,"Espaciador","6415, 6615","CQ38916",""
"Arandela de seguridad",1,"Arandela","6415, 6615","12M7067","12 mm"
"Protección",1,"Componente","6415","DQ63793",""
"Protección",1,"Componente","6615","DQ61516",""
"Arandela de seguridad",2,"Arandela","6415, 6615","12M7070","20 mm"
"Tornillo",1,"Tornillo","6415, 6615","19M7330","M12 X 55"
"Tanque de combustible",1,"Componente","6415","AL206571","154L, INCLUDES L2646N, SUB FOR MN10299"
"Tanque de combustible",1,"Componente","6615","AL206572","(SIN DEPOSITO AUXILIAR) 172L, INCLUDES L2646N"
"Tapón de llenado",1,"Tapón","6415, 6615","AL113086",""
"Abrazadera",1,"Abrazadera","6415, 6615","SG01301",""
"Tapón",1,"Tapón","6415, 6615","CQ34351",""
"Aforador de combustible",1,"Componente","6415","AL161024",""
"Aforador de combustible",1,"Componente","6615","AL161025",""
"Filtro",1,"Filtro","6415, 6615","CQ29104",""
"Brida",1,"Componente","6415, 6615","CQ65301",""
"Manguera",1,"Manguera","6415, 6615","CQ55032","CTL 900 mm, MF MN11040"
"Manguera",1,"Manguera","","MN11040",""
"Tornillo",4,"Tornillo","6415, 6615","21M7246","M6 X 16, (SUB FOR 21M7296)"
"Tapón roscado",1,"Tapón","6415, 6615","L2646N",""
"Tapón de vaciado",1,"Tapón","6415, 6615","MN10321","(USE WITH MN10297, MN10299)"
"Arandela",1,"Arandela","6415, 6615","24M7139","6.400 X 18 X 1.600 mm"
"Anillo tórico",1,"Anillo","6415, 6615","R217636",""
"Abrazadera",4,"Abrazadera","6415, 6615","SG06401",""
"Manguera",1,"Manguera","6415","CQ55027",""
"Manguera",1,"Manguera","6615","CQ55030",""
"Tanque de combustible",1,"Componente","6615","MN10300","(SUB FOR DQ58533)"
"Manguera",1,"Manguera","6615","CQ71959","CTL 500 mm, MF MN11040"
"Manguera",1,"Manguera","","MN11040",""
"Respiradero",1,"Componente","6615","RE52504",""
"Manguera",1,"Manguera","6615","CQ43846",""
"Abrazadera",2,"Abrazadera","6615","DQ15378",""
"Apoyo",1,"Apoyo","6615","DQ50015",""
"Tornillo",2,"Tornillo","6615","19M7496","M12 X 45, (SUB FOR 19M7387)"
"Abrazadera",2,"Abrazadera","6615","CQ03753",""
"Tira",1,"Componente","6615","DQ54900",""
"Tornillo",1,"Tornillo","6615","19M8049","M10 X 80"
"Arandela",1,"Arandela","6615","24M7040","11 X 20 X 2 mm"
"Tuerca",1,"Tuerca","6615","14M7274","M10"
"Apoyo",1,"Apoyo","6615","CQ64318",""
"Tornillo",2,"Tornillo","6615","19M7496","M12 X 45, (SUB FOR 19M7744)"
"Arandela",2,"Arandela","6615","24M7044","13 X 20 X 2 mm"
"Tuerca con brida",2,"Tuerca","6615","14M7296","M10"
